;;;;;;;0
3;0;-0,02;0;31,91;10;64,1;1016
3;0;0,01;0;16,46;10;64,1;1019
3;0;-0,07;0;32,91;10;64,1;1022
3;0;-0,11;0;16,46;10;64,1;1025
4;0;-0,05;0;32,91;10;64,1;1029
3;0;-0,01;0;16,46;10;64,1;1032
3;0;-0,05;0;33,41;10;64,1;1035
3;0;-0,14;0;16,46;10;64,1;1038
3;0;-0,23;0;32,91;10;64,1;1041
3;0;-0,38;0;16,46;10;64,1;1044
3;0;-0,41;0;33,91;10;64,1;1047
4;0;-0,5;0;17,95;10;64,1;1051
3;0;-0,51;0;32,91;10;60,7;1054
4;0;-0,93;0;33,91;10;60,7;1058
3;0;-1,15;0;16,95;10;60,7;1061
3;0;-1,23;0;34,41;10;60,7;1064
3;0;-1,4;0;17,45;10;60,7;1067
3;0;-1,69;0;35,41;10;60,7;1070
4;0;-1,64;0;16,95;10;60,7;1074
3;0;-2,18;0;35,41;10;60,7;1077
3;0;-2,48;0;17,95;10;60,7;1080
3;0;-2,7;0;35,9;10;60,7;1083
3;0;-2,91;0;18,45;10;60,7;1086
4;0;-3,27;0;36,9;10;60,7;1090
3;0;-3,51;0;18,95;10;60,7;1093
3;0;-3,81;0;37,9;10;60,7;1096
3;0;-4,18;0;19,95;10;60,7;1099
3;0;-5,99;0;41,39;10;60,7;1102
3;0;-6,1;0;19,95;10;60,7;1105
4;0;-6,2;0;40,39;10;60,7;1109
3;0;-6,37;0;19,45;10;60,7;1112
3;0;-6,69;0;39,39;10;60,7;1115
4;0;-7;0;40,39;10;111,9;1119
3;0;-7,18;0;20,45;10;111,9;1122
3;0;-7,17;0;40,89;10;111,9;1125
3;0;-7,17;0;19,95;10;111,9;1128
4;0;-7,25;0;40,39;10;111,9;1132
3;0;-7,15;0;20,45;10;111,9;1135
3;0;-7,19;0;40,39;10;111,9;1138
4;0;-7,15;0;19,95;10;111,9;1142
3;0;-7,08;0;40,39;10;111,9;1145
3;0;-7,05;0;20,45;10;111,9;1148
4;0;-7,04;0;40,89;10;111,9;1152
3;0;-6,86;0;21,44;10;111,9;1155
3;0;-6,88;0;40,39;10;111,9;1158
3;0;-6,82;0;19,95;10;111,9;1161
4;0;-6,78;0;40,39;10;111,9;1165
3;0;-6,54;0;19,95;10;111,9;1168
3;0;-6,43;0;39,89;10;111,9;1171
4;0;-6,21;0;19,95;10;111,9;1175
3;0;-6,17;0;40,39;10;111,9;1178
4;0;-5,91;0;43,38;10;111,9;1182
3;0;-3,37;0;20,94;10;95,6;1185
4;0;-2,1;0;20,45;10;93,4;1189
4;0;-1,85;0;20,45;10;90,6;1193
3;0;-1,76;0;40,39;10;90,6;1196
3;0;-1,74;0;20,45;10;90,6;1199
3;0;-1,75;0;40,39;10;90,6;1202
4;0;-1,81;0;39,89;10;90,6;1206
3;0;-1,78;0;40,89;10;90,6;1209
