Robot;Delta_muestra;Input_d;d_ref;vel_ref;Input_vel;Input_theta;Output_d;Output_vel;Output_theta;;;;
T;40;11.4;10;20;19.88;0;20;525.81;16.43;0;15;0;1
S;41;13;10;21;20.79;0;21;560.5;-17.88;0;15;0.01;1
L;40;8.3;8.3;20;20.05;0;0;516.52;25.54;0.01;15;0;1
T;40;11.4;10;20;19.98;0.01;20;523.84;-3.36;0;15;0;1
S;40;13;10;21;20.79;0;21;561.68;2.08;0;15;0.01;1
L;40;9.6;8.3;20;20.04;0;0;516.47;35.57;0.01;15;0;1
T;40;11.3;10;20;19.96;0.01;20;524.48;-2.1;0;15;0;1
S;40;12.6;10;21;20.77;-0.01;21;563.52;8.18;0;15;0.01;1
L;40;7.9;8.3;20;20.1;-0.01;0;514.55;37.25;0.01;15;0;1
T;40;11.6;10;20;19.99;0.01;20;523.87;-5.7;0;15;0;1
S;40;13.1;10;21;20.74;-0.01;21;565.53;8.45;0;15;0.01;1
L;40;11.6;8.3;20;19.99;0;0;516.86;26.99;0.01;15;0;1
T;40;11.7;10;20;19.91;0.01;20;526.11;-4.27;0.01;15;0;1
S;40;12.9;10;21;20.84;-0.01;21;564.34;11.06;0;15;0.01;1
L;40;80;8.3;20;19.97;-0.01;0;517.38;44.25;0.01;15;0;1
T;40;11.5;10;20;19.94;0.01;20;525.79;-10.8;0.01;15;0;1
S;40;13.1;10;21;21.05;-0.01;21;559.8;15.36;0;15;0.01;1
L;40;18.4;8.3;20;19.89;-0.01;0;519.71;48.12;0.01;15;0;1
T;40;11.7;10;20.34;20.01;0.01;20.34;533.27;-9.25;0.01;15;0;1
S;40;13;10;21;21.03;-0.01;21;559.98;13.25;0;15;0.01;1
L;40;12.9;8.3;20;20.02;-0.01;0;516.89;58;0.01;15;0;1
T;40;11.8;10;20.95;19.89;0.01;20.95;554.26;-12.73;0.01;15;0;1
S;40;12.8;10;21;21.1;-0.01;21;558.07;13.27;0;15;0.01;1
L;40;10.2;8.3;20;20.62;-0.01;0;501.13;63.76;0.01;15;0;1
T;40;11.7;10;20.76;19.99;0.01;20.76;552.79;-13.1;0;15;0;1
S;40;12.9;10;21;21.01;-0.01;21;559.87;6.59;0;15;0.01;1
L;40;11.5;8.3;20;19.89;-0.02;0;516.53;103.53;0.01;15;0;1
T;40;12;10;22;20.31;0.01;22;581.22;-10.6;0;15;0;1
S;40;12.6;10;21;21.03;-0.01;21;559.29;13.4;0;15;0.01;1
L;40;11.4;8.3;20;20.33;-0.03;0;505.65;101.59;0.01;15;0;1
T;40;11.9;10;22;20.49;0.01;22;586.33;-2.64;0;15;0;1
S;40;12.6;10;21;21;-0.01;21;559.8;10.88;0;15;0.01;1
L;40;10.1;8.3;20;19.71;-0.07;0;520.06;267.15;0.01;15;0;1
T;40;11.5;10;20.61;22.55;0.01;20.61;505.1;-1.73;0;15;0;1
S;40;12.8;10;21;20.82;-0.01;21;564.54;18.28;0;15;0.01;1
L;40;9.4;8.3;20;20.1;-0.08;0;511.54;233.85;0.01;15;0;1
T;40;11.9;10;22;20.49;0;22;583.83;-3.11;0;15;0;1
S;40;12.7;10;21;20.79;-0.01;21;566.41;14.84;0;15;0.01;1
L;40;12.5;8.3;20;19.52;-0.07;0;526.21;224.05;0.01;15;0;1
T;40;11.6;10;21.43;20.59;0;21.43;575.11;20.55;0;15;0;1
S;40;12.5;10;21;20;-0.01;21;588.12;25.9;0;15;0.01;1
L;40;10.9;8.3;20;19.65;-0.03;0;525.45;80.57;0.01;15;0;1
T;40;11.5;10;21.21;21.72;-0.01;21.21;544.57;33.79;0;15;0;1
S;40;12.5;10;21;21.67;-0.01;21;550.36;22.79;0;15;0.03;1
L;40;13.1;8.3;20;19.66;-0.02;0;527.3;128.33;0.03;15;0;1
T;40;11.8;10;22;21.65;-0.01;22;564.16;24.86;0;15;0;1
S;40;12.9;10;21;21.03;-0.01;21;563.32;25.56;0;15;0.03;1
L;40;15.6;8.3;20;19.87;-0.03;0;523.85;160.08;0.03;15;0;1
T;40;11.9;10;22;21.67;-0.01;22;565.61;35.09;0;15;0;1
S;40;12.6;10;21;21.07;-0.01;21;562.08;26.17;0;15;0.03;1
L;40;16.5;8.3;20;19.92;-0.03;0;523.12;183.19;0.03;15;0;1
T;40;11.8;10;22;21.49;-0.01;22;572.29;41.66;0;15;0;1
S;40;12.6;10;21;21.18;-0.01;21;558.79;23.79;0;15;0.03;1
L;40;13.1;8.3;20;19.99;-0.03;0;521.78;172.65;0.04;15;0;1
T;40;11.5;10;22;21.67;-0.01;22;570.49;30.3;0;15;0;1
S;40;12.4;10;21;21.06;-0.01;21;560.8;25.7;0;15;0.03;1
L;40;18;8.3;20;20.16;-0.03;0;517.51;186.92;0.04;15;0;1
T;40;11.6;10;22;21.66;-0.01;22;572.78;22.15;0;15;0;1
S;40;12.6;10;21;21.27;0;21;555;11.38;0;15;0.04;1
L;40;31.9;8.3;20;19.85;-0.03;0;524.55;181.95;0.04;15;0;1
T;40;11.2;10;21.18;21.72;0;21.18;551.93;12.82;0;15;0;1
S;40;12.4;10;21;21.1;0;21;557.81;22.18;0;15;0.04;1
L;40;36.7;8.3;20;20.97;-0.03;0;496.21;168.33;0.04;15;0;1
T;40;11.7;10;22;21.7;0;22;570.59;-1.56;0;15;0;1
S;40;12.5;10;21;21.05;0;21;558.71;20.28;0.01;15;0.04;1
L;40;40.2;8.3;20;19.92;-0.02;0;518.14;162.27;0.04;15;0;1
T;40;11.7;10;22;21.64;0.01;22;573.94;-7.96;0;15;0;1
S;40;13;10;21;21.12;-0.01;21;556.44;45.57;0.01;15;0.04;1
L;40;44.4;8.3;20;19.76;-0.01;0;522.66;145.94;0.03;15;0;1
T;40;11.7;10;22;21.49;0.01;22;579.98;2.23;0;15;0.01;1
S;40;12.8;10;21;20.78;0;21;564.61;10.14;0.01;15;0.04;1
T;40;11.7;10;22;21.59;0.01;22;580.18;2.88;0;15;0.01;1
L;40;42.4;8.3;20;19.8;-0.01;0;522.92;138.65;0.03;15;0;1
S;40;13.2;10;21;20.58;0;21;571.2;28.59;0.01;15;0.03;1
L;40;44.2;8.3;20;19.88;0;0;522.15;135.61;0.03;15;0;1
T;40;11.5;10;22;21.83;0;22;576.31;13.69;0;15;0.01;1
S;40;13.4;10;21;21.16;0;21;558.38;19.4;0.01;15;0.03;1
L;40;44.2;8.3;20;19.93;0;0;521.53;141.91;0.03;15;0;1
T;40;11.8;10;22;21.93;0;22;574.85;11.52;0;15;0.01;1
S;40;13.9;10;21;21.04;-0.01;21;560.77;34.8;0.01;15;0.03;1
L;40;43.3;8.3;20;19.97;0;0;520.97;137.31;0.04;15;0;1
T;40;11.7;10;22;23.47;0;22;534.83;14.36;0;15;0.01;1
S;40;13.8;10;21;20.97;0;21;562.24;17.19;0.01;15;0.04;1
L;40;46.4;8.3;20;20.14;0;0;516.57;125.8;0.04;15;0;1
T;40;11.8;10;22;20.9;0;22;593.55;15.04;0;15;0.01;1
S;40;13.4;10;21;20.73;0;21;568.7;30.73;0.01;15;0.04;1
L;40;51.5;8.3;20;20;0;0;519.42;130.66;0.04;15;0;1
T;40;11.8;10;22;21.65;-0.01;22;580.4;28.8;0;15;0.01;1
S;40;11;10;21;21.43;-0.01;21;551.98;40.02;0.01;15;0.04;1
L;40;53.1;8.3;20;20.06;0;0;517.94;136.18;0.05;15;0;1
T;40;11.9;10;22;22.04;0;22;572.09;19.12;0;15;0.01;1
S;40;9;10;19;21.4;-0.01;19;498.05;35.76;0.01;15;0.04;1
L;40;59.5;8.3;20;19.91;0;0;521.35;148.11;0.05;15;0;1
T;40;11.7;10;22;21.94;0;22;574.54;19;0;15;0.01;1
S;40;4.4;10;19;20.75;-0.01;19;501.11;51.14;0.01;15;0.05;1
L;40;57.9;8.3;20;19.85;0;0;523.62;131.77;0.05;15;0;1
T;40;11.5;10;22;21.83;0;22;577.78;22.5;0;15;0.01;1
S;40;3.2;10;19;20.19;-0.01;19;505.64;49.54;0.01;15;0.05;1
L;40;64.7;8.3;20;21.25;0;0;487.8;137.12;0.05;15;0;1
T;40;11.8;10;20;22.1;-0.01;20;519.41;33.34;0;15;0.01;1
S;40;3.3;10;19;19.89;-0.01;19;506.46;55.38;0.01;15;0.05;1
T;40;11.6;10;20;21.7;-0.01;20;517.77;28.24;0;15;0.01;1
S;40;3.3;10;19;19.5;-0.01;19;511.45;64.52;0.01;15;0.05;1
L;40;71.4;8.3;20;19.6;0;0;526.98;122.53;0.05;15;0;1
T;40;11.2;10;20;21.3;0;20;518.19;22.5;0;15;0.01;1
S;40;3.2;10;19;19.11;-0.02;19;518.66;76.42;0.01;15;0.05;1
L;40;70.5;8.3;20;20.37;0;0;509.37;144.15;0.05;15;0;1
T;40;11.2;10;20;20.71;0;20;526.1;25.98;0;15;0.01;1
S;40;3.5;10;19;19.11;-0.06;19;518.04;241.28;0.01;15;0.05;1
L;40;70.2;8.3;20;20.22;-0.01;0;511.01;173.18;0.05;15;0;1
T;40;11.2;10;20;20.36;0;20;531.02;22.16;0;15;0.01;1
S;40;1.7;10;19;19.08;-0.07;19;518.22;197.1;0.01;15;0.05;1
L;40;73.1;8.3;20;19.9;-0.01;0;518.15;163.44;0.05;15;0;1
T;40;11.4;10;20;19.47;0;20;552.21;16.52;0;15;0.01;1
S;40;2.7;10;19;18.99;-0.03;19;520.09;65.13;0.01;15;0.05;1
L;40;71.9;8.3;20;19.82;-0.01;0;520.73;158.27;0.05;15;0;1
T;40;11.1;10;20;20.51;0;20;528.11;16.41;0;15;0.01;1
S;40;5.8;10;19;19.12;-0.07;19;516.83;261.52;0.01;15;0.05;1
L;40;72.8;8.3;20;19.86;-0.01;0;520.8;159.18;0.05;15;0;1
T;40;11.3;10;20;20.44;0;20;527.11;21.47;0;15;0.01;1
S;40;4.4;10;19;19.17;-0.07;19;514.65;241.92;0.01;15;0.05;1
L;40;68.6;8.3;20;19.97;-0.01;0;518.69;172.43;0.05;15;0;1
T;40;11.7;10;20;19.92;0;20;537.95;28.2;0;15;0.01;1
S;40;3.8;10;19;19.15;-0.03;19;514.23;81.83;0.02;15;0.05;1
L;40;68.2;8.3;20;19.94;0;0;519.78;137.38;0.05;15;0;1
T;40;11.3;10;20;19.96;-0.01;20;537.36;40.05;0;15;0.01;1
S;40;4.4;10;19;19.17;-0.03;19;512.76;148.78;0.02;15;0.05;1
L;40;67.8;8.3;20;20.14;-0.02;0;514.83;199.94;0.05;15;0;1
T;40;11.6;10;20;20.1;-0.01;20;534.02;42.22;0;15;0.02;1
S;40;3.4;10;19;19.08;-0.07;19;514.08;300.95;0.02;15;0.05;1
L;40;66;8.3;20;20.04;-0.02;0;516.64;209.94;0.05;15;0;1
T;40;11.3;10;20;19.93;-0.01;20;537.85;39.02;0;15;0.02;1
S;40;4.4;10;19;19.02;-0.07;19;515.39;252.65;0.02;15;0.05;1
L;40;67.7;8.3;20;20.02;-0.03;0;516.87;214.58;0.05;15;0;1
T;40;11.3;10;20;20.12;-0.01;20;533.37;40.79;0;15;0.02;1
S;40;3.7;10;19;18.98;-0.02;19;516.29;96.95;0.02;15;0.05;1
L;40;66.8;8.3;20;20.73;-0.03;0;498.28;210.95;0.05;15;0;1
T;40;11.4;10;20;20.1;-0.01;20;533.15;41.8;0;15;0.02;1
S;40;13;10;20.86;19.28;-0.01;20.86;557.14;127.37;0.04;15;0.05;1
L;40;65.3;8.3;20;20.35;-0.02;0;503.89;201.35;0.05;15;0;1
T;40;11.4;10;20;19.98;-0.01;20;535.6;41.78;0.01;15;0.02;1
S;40;17.8;10;21;19.31;-0.01;21;569.23;155.41;0.04;15;0.05;1
T;40;11.5;10;21.86;20.06;-0.01;21.86;582.39;37.36;0.01;15;0.04;1
L;40;63.8;8.3;20;19.37;-0.02;0;527.51;225.1;0.05;15;0;1
S;40;23.7;10;21;20.08;-0.01;21;558.85;155.17;0.04;15;0.05;1
T;40;11.5;10;21.86;20.17;0;21.86;589.89;31.59;0.01;15;0.04;1
L;40;65;8.3;20;19.5;-0.03;0;527.82;234.27;0.05;15;0;1
S;40;28.1;10;21;20.33;-0.01;21;557.8;148.24;0.02;15;0.05;1
L;40;64.8;8.3;20;19.57;-0.02;0;528.91;220.42;0.05;15;0;1
T;40;11.9;10;22;20.64;0;22;591.19;39.14;0.01;15;0.02;1
S;40;29.6;10;21;20.46;-0.01;21;558.22;140.99;0.02;15;0.05;1
L;40;62.3;8.3;20;19.56;-0.02;0;531.61;230.62;0.05;15;0;1
T;40;12.2;10;22;21.11;0.03;22;586.86;-101.99;0.01;15;0.02;1
S;40;32;10;21;20.66;-0.01;21;556.03;155.69;0.02;15;0.05;1
L;40;64;8.3;20;19.66;-0.02;0;531.6;234.32;0.05;15;0;1
T;40;12.7;10;22;21.39;-0.01;22;584.51;116.18;0.01;15;0.02;1
S;40;31;10;21;20.74;-0.01;21;556.04;148.33;0.02;15;0.05;1
L;40;63.4;8.3;20;19.74;-0.02;0;531.5;215.7;0.05;15;0;1
T;40;13.3;10;22;21.7;-0.02;22;580.07;83.38;0.01;15;0.02;1
S;40;31.4;10;21;20.91;-0.01;21;553.03;163.78;0.02;15;0.05;1
T;40;14.4;10;22;21.94;-0.02;22;575.6;67.21;0.01;15;0.02;1
L;40;60.7;8.3;20;19.6;-0.02;0;536.56;227.35;0.05;15;0;1
S;40;30.3;10;21;20.79;-0.01;21;556.67;145.41;0.04;15;0.05;1
L;40;59;8.3;20;19.86;-0.01;0;532.04;216.21;0.05;15;0;1
T;40;14.2;10;22;21.74;-0.02;22;581.06;61.15;0.01;15;0.04;1
S;40;28.5;10;21;20.91;-0.01;21;554.9;154.33;0.04;15;0.05;1
L;40;46.4;8.3;20;19.99;0;0;529.55;188.37;0.05;15;0;1
T;40;15.5;10;22;21.91;-0.02;22;578.16;73.13;0.01;15;0.04;1
S;40;26.8;10;21;20.9;-0.01;21;555.52;161.43;0.04;15;0.05;1
L;40;50.8;8.3;20;19.78;0.01;0;535.2;168.94;0.05;15;0;1
T;40;15.9;10;22;22.08;-0.01;22;574.35;65.02;0.01;15;0.04;1
S;40;25.5;10;21;20.79;-0.01;21;558.93;151.45;0.04;15;0.05;1
L;40;48.4;8.3;20;20.12;0.01;0;527.6;152.05;0.05;15;0;1
T;40;15.9;10;22;22.2;-0.01;22;570.76;72.11;0.01;15;0.04;1
S;40;25;10;21;20.96;0;21;555.92;148.2;0.05;15;0.05;1
L;40;80;8.3;20;20.14;0.06;0;526.39;2.64;0.05;15;0;1
T;40;14.6;10;22;21.59;-0.02;22;585.42;90.08;0.01;15;0.04;1
S;40;27;10;21;21.17;0;21;550.6;154.21;0.05;15;0.05;1
L;40;80;8.3;20;20.31;0.06;0;521.15;58.55;0.05;15;0;1
T;40;9.3;10;20;21.99;-0.03;20;525.29;118.51;0.01;15;0.05;1
S;40;28.3;10;21;20.62;0;21;563.87;147.81;0.05;15;0.05;1
L;40;80;8.3;20;20.22;0.01;0;521.75;230.44;0.06;15;0;1
T;40;16;10;22;21.21;-0.03;22;586.29;125.28;0.01;15;0.05;1
S;40;29.1;10;21;20.67;0;21;564.84;151.62;0.05;15;0.06;1
L;40;80;8.3;20;20.37;0;0;516.51;194.34;0.06;15;0;1
T;40;16.4;10;22;21.44;-0.08;22;584.91;286.82;0.02;15;0.05;1
S;40;31.4;10;21;21.55;0;21;543.67;154.78;0.05;15;0.06;1
L;40;80;8.3;20;20.29;0;0;516.44;183.45;0.06;15;0;1
T;40;14.7;10;22;22.17;-0.08;22;569.07;247.57;0.02;15;0.05;1
S;40;34.6;10;21;20.87;-0.01;21;558.33;167.61;0.05;15;0.06;1
L;40;80;8.3;20;20.21;0;0;516.8;176.52;0.06;15;0;1
T;40;20.2;10;22;21.69;-0.08;22;580.55;259.54;0.02;15;0.05;1
S;40;36.8;10;21;20.76;-0.01;21;562.06;173.41;0.05;15;0.06;1
L;40;80;8.3;20;20.2;0;0;515.8;173.63;0.06;15;0;1
T;40;16.5;10;22;22.63;-0.04;22;557.88;113.86;0.02;15;0.05;1
S;40;39.6;10;21;20.85;-0.01;21;560.97;164.65;0.05;15;0.06;1
L;40;56.3;8.3;20;20.07;0.01;0;518;149.09;0.06;15;0;1
T;40;13.6;10;22;22.42;-0.03;22;559.63;177.35;0.03;15;0.05;1
S;40;39.2;10;21;20.93;-0.01;21;559.8;182.78;0.05;15;0.06;1
L;40;80;8.3;20;20;0.01;0;519.55;131.82;0.06;15;0;1
T;40;16.7;10;22;22.12;-0.03;22;564.99;187.19;0.03;15;0.05;1
S;40;38.6;10;21;20.91;-0.02;21;560.66;202.74;0.05;15;0.06;1
L;40;80;8.3;20;19.96;0.02;0;520.5;126.45;0.05;15;0;1
T;40;19.3;10;22;21.79;-0.04;22;573.02;200.96;0.03;15;0.05;1
S;40;39.8;10;21;21.11;-0.02;21;555.92;195.46;0.05;15;0.05;1
L;40;80;8.3;20;20.21;0.03;0;514.23;95.19;0.05;15;0;1
T;40;21.9;10;22;21.77;-0.04;22;574.84;203.91;0.03;15;0.05;1
S;40;40.8;10;21;21.08;-0.02;21;556.05;214.06;0.05;15;0.05;1
L;40;72.4;8.3;20;19.71;0.07;0;526.01;-38.85;0.05;15;0;1
T;40;36.8;10;22;21.74;-0.03;22;576.97;204.19;0.04;15;0.05;1
S;40;42.1;10;21;21;-0.02;21;557.87;215.77;0.05;15;0.05;1
L;40;70.6;8.3;20;20.21;0.07;0;514.61;2.62;0.05;15;0;1
T;40;38.2;10;22;21.55;-0.03;22;583.47;190.61;0.04;15;0.05;1
S;40;40.6;10;21;20.99;-0.03;21;557.91;232.04;0.05;15;0.05;1
L;40;73;8.3;20;20.01;0.02;0;518.68;158.13;0.05;15;0;1
T;40;42;10;22;21.7;-0.02;22;582.07;176.57;0.04;15;0.05;1
S;40;38.7;10;21;20.94;-0.02;21;559.35;220.18;0.05;15;0.05;1
L;40;78.8;8.3;20;20.09;0.02;0;516.65;107.37;0.05;15;0;1
T;40;41.1;10;22;21.93;-0.02;22;577.94;170.56;0.04;15;0.05;1
S;40;36.6;10;21;20.96;-0.03;21;559.26;265.89;0.05;15;0.05;1
L;40;80;8.3;20;19.95;0.06;0;519.56;-53.09;0.05;15;0;1
T;40;41.4;10;22;21.9;-0.01;22;578.97;161.3;0.03;15;0.05;1
S;40;36.1;10;21;20.56;-0.03;21;569.84;248.44;0.05;15;0.05;1
L;40;80;8.3;20;19.97;0.06;0;519.52;-4.27;0.05;15;0;1
T;40;40.7;10;22;21.94;-0.01;22;578.49;157.06;0.03;15;0.05;1
S;40;34.9;10;21;21.06;-0.03;21;559.42;259.19;0.05;15;0.05;1
L;40;71.4;8.3;20;20.1;0.02;0;516.18;137.46;0.05;15;0;1
T;40;40.7;10;22;21.84;-0.01;22;581.49;178.36;0.03;15;0.05;1
S;41;32.9;10;21;20.7;-0.02;21;568.57;235.54;0.05;15;0.05;1
L;40;62.1;8.3;20;20.01;0.01;0;518.09;92.09;0.04;15;0;1
T;40;40.1;10;22;22.09;0;22;575.87;140.07;0.03;15;0.05;1
S;40;31;10;21;20.83;-0.03;21;566.85;262;0.05;15;0.05;1
L;40;80;8.3;20;19.95;0.01;0;519.42;76.52;0.04;15;0;1
T;40;40.5;10;22;22.04;0;22;576.55;148.79;0.04;15;0.05;1
S;40;27.6;10;21;21.02;-0.03;21;562.97;256.4;0.05;15;0.04;1
T;40;42.5;10;22;22.28;0;22;570.26;151.91;0.04;15;0.05;1
L;40;66.4;8.3;20;19.99;0.05;0;518.86;-71.54;0.04;15;0;1
S;40;24.4;10;21;20.97;-0.02;21;564.2;241.86;0.05;15;0.04;1
L;40;75.5;8.3;20;20.1;0.05;0;515.85;-23.9;0.03;15;0;1
T;40;53.6;10;22;21.79;0;22;581.34;156.41;0.04;15;0.05;1
S;40;24.4;10;21;21.02;-0.01;21;563;225.69;0.05;15;0.03;1
L;40;53.5;8.3;20;20.12;0.01;0;514.71;123.14;0.03;15;0;1
T;40;61.7;10;22;22.01;0;22;576.91;166.2;0.05;15;0.05;1
S;40;15.2;10;21;21.46;-0.01;21;551.34;236.88;0.05;15;0.03;1
L;40;73;8.3;20;20.02;0.01;0;516.64;68.97;0.03;15;0;1
T;40;65.8;10;22;22.28;0;22;569.62;148.44;0.05;15;0.05;1
S;40;12.9;10;21;21.28;0;21;553.4;198.5;0.05;15;0.03;1
L;40;69.8;8.3;20;20.1;0.02;0;514.62;36.08;0.03;15;0;1
T;40;72.2;10;22;21.81;0;22;580.26;157.28;0.05;15;0.05;1
S;40;12.1;10;21;21.14;0.01;21;555.35;174.09;0.05;15;0.03;1
L;40;54.3;8.3;20;19.96;0.05;0;517.7;-93.13;0.03;15;0;1
T;40;76.4;10;22;22.65;0;22;559.52;148.48;0.05;15;0.05;1
S;40;10.5;10;21;21.07;0.02;21;556.47;152.95;0.06;15;0.03;1
L;40;48.8;8.3;20;20.15;0.02;0;512.97;88.13;0.02;15;0;1
T;40;77.6;10;22;21.79;0;22;578.22;154.05;0.05;15;0.05;1
S;40;11.4;10;21;21.03;0.06;21;556.99;9.76;0.06;15;0.02;1
L;40;68.3;8.3;20;19.97;0.01;0;516.75;40.54;0.02;15;0;1
T;40;77.6;10;22;21.78;0;22;579.74;163.21;0.05;15;0.05;1
S;40;12.4;10;21;20.8;0.02;21;562.96;211.24;0.06;15;0.02;1
L;40;70.3;8.3;20;20.18;0.01;0;511.4;33.06;0.02;15;0;1
T;40;80;10;22;21.8;0;22;580.55;168.34;0.05;15;0.06;1
S;40;13.5;10;21;22.04;0.01;21;531.56;180.68;0.06;15;0.02;1
L;40;53.5;8.3;20;20.02;0.05;0;514.66;-109.39;0.02;15;0;1
T;40;80;10;22;22.16;-0.01;22;572.2;180.69;0.05;15;0.06;1
S;40;13.4;10;21;20.87;0.01;21;556.06;178.09;0.06;15;0.02;1
L;40;80;8.3;20;19.63;0.01;0;524.7;74.35;0.01;15;0;1
T;40;75.3;10;22;21.88;-0.01;22;578.7;189.78;0.04;15;0.06;1
S;40;13.5;10;21;20.68;0.01;21;561.83;162.11;0.07;15;0.02;1
L;40;62.2;8.3;20;20.9;0.01;0;493.75;32.27;0.01;15;0;1
T;40;75.3;10;22;22.01;-0.01;22;575.94;188.67;0.04;15;0.06;1
S;40;12.1;10;21;20.77;0.02;21;561.48;130.21;0.07;15;0.01;1
T;40;75;10;22;21.86;-0.02;22;579.69;205.81;0.04;15;0.06;1
L;40;80;8.3;20;20.6;0.01;0;496.39;25.34;0.01;15;0;1
S;40;11.3;10;21;21.16;0.01;21;552.63;171.69;0.07;15;0.01;1
L;40;66.5;8.3;20;19.98;0.01;0;508.94;13.22;0.01;15;0;1
T;40;74.1;10;22;21.87;-0.02;22;580.33;223.56;0.04;15;0.07;1
S;40;11.3;10;21;20.8;0.02;21;561.04;141.5;0.07;15;0.01;1
T;40;72.7;10;22;21.92;-0.03;22;579.84;238.44;0.04;15;0.07;1
L;40;63.5;8.3;20;19.48;0.05;0;522.2;-123.95;0.01;15;0;1
S;40;10.6;10;21;21.17;0.02;21;552.67;122.63;0.06;15;0.01;1
L;40;65.8;8.3;20;20.15;0.01;0;507.64;82.5;0.01;15;0;1
T;40;72;10;22;21.94;-0.03;22;579.64;225.15;0.04;15;0.07;1
S;40;10.5;10;21;21.32;0.03;21;547.69;104;0.06;15;0.01;1
L;40;61.6;8.3;20;19.8;0;0;515.86;52.96;0.01;15;0;1
T;40;71.8;10;22;21.97;-0.04;22;579.38;294.93;0.04;15;0.06;1
S;40;10.3;10;21;21.1;0.04;21;551.54;79.6;0.06;15;0.01;1
T;40;72.3;10;22;21.94;-0.08;22;580.33;404.6;0.04;15;0.06;1
L;40;78.5;8.3;20;19.8;0;0;517.17;32.52;0.01;15;0;1
S;40;10.3;10;21;20.99;0.08;21;553.89;-58.79;0.05;15;0.01;1
L;40;65.1;8.3;20;19.8;0;0;518.16;36.09;0.01;15;0;1
T;40;72.6;10;22;21.54;-0.08;22;591.1;370.76;0.04;15;0.06;1
S;40;10.3;10;21;20.96;0.07;21;554.57;3.84;0.05;15;0.01;1
L;40;54.9;8.3;20;19.83;0;0;518.74;24.34;0.01;15;0;1
T;40;73.2;10;22;21.77;-0.02;22;587.71;185.4;0.04;15;0.06;1
S;40;10.1;10;20.4;20.76;0.03;20.4;544.51;143.33;0.05;15;0.01;1
L;40;80;8.3;20;19.93;0;0;516.94;28.83;0.01;15;0;1
T;40;73;10;22;22.07;-0.02;22;581.19;251.67;0.04;15;0.06;1
S;40;10.3;10;21;20.66;0.03;21;560.62;81.94;0.05;15;0.01;1
L;40;52.2;8.3;20;19.9;0.01;0;518.2;4.29;0.01;15;0;1
T;40;68.7;10;21.4;21.9;-0.02;21.4;569.48;257.21;0.05;15;0.05;1
S;40;10.1;10;20.4;20.63;0.07;20.4;547.72;-79.27;0.05;15;0.01;1
L;40;71;8.3;20;20;0.01;0;516.05;22.74;0.01;15;0;1
T;40;61.1;10;21.4;21.97;-0.01;21.4;564.79;248.96;0.05;15;0.05;1
S;40;10.4;10;21;20.76;0.06;21;558.79;-21.69;0.04;15;0.01;1
L;40;80;8.3;20;19.63;0.01;0;525.72;-3.91;0.01;15;0;1
T;40;30.2;10;21.4;22.3;-0.01;21.4;552.96;234.62;0.05;15;0.04;1
S;40;10.3;10;21;20.72;0.02;21;561.09;137.9;0.04;15;0.01;1
L;40;75.3;8.3;20;20.03;0.02;0;517.5;-31.52;0.01;15;0;1
T;40;19.7;10;21.4;21.76;0;21.4;561.89;205.82;0.05;15;0.04;1
S;40;10.1;10;20.4;20.67;0.01;20.4;548.26;88.97;0.04;15;0.01;1
L;40;63.2;8.3;20;19.9;0.01;0;520.79;7.77;0.01;15;0;1
T;40;15.3;10;21.4;21.54;0.01;21.4;565.46;188.1;0.05;15;0.04;1
S;40;10;10;20;20.74;0.02;20;534.45;58.18;0.04;15;0.01;1
L;40;66.5;8.3;20;20.61;0.01;0;502.76;-3.5;0.01;15;0;1
T;40;11.7;10;21.4;21.54;0.06;21.4;564.73;20.07;0.05;15;0.04;1
S;40;10.1;10;20.4;20.58;0.02;20.4;544.76;49.47;0.03;15;0.01;1
L;40;80;8.3;20;19.71;0.01;0;522.66;1.63;0.01;15;0;1
T;40;11;10;21.4;21.56;0.06;21.4;563.32;85.43;0.05;15;0.04;1
S;40;9.9;10;19.59;20.51;0.06;19.59;524.32;-109.09;0.03;15;0.01;1
L;40;80;8.3;20;19.88;0.01;0;520.02;0.47;0.01;15;0;1
T;40;10.4;10;21.4;21.58;0.01;21.4;561.83;260.25;0.05;15;0.03;1
S;40;9.9;10;19.58;20.46;0.06;19.58;520.03;-35.21;0.03;15;0.01;1
T;40;10.9;10;21.4;21.44;0;21.4;564.36;220.05;0.06;15;0.03;1
L;40;80;8.3;20;20.14;0.01;0;513.83;0.63;0.01;15;0;1
S;40;9.8;10;19.15;20.21;0.01;19.15;510.21;105.44;0.03;15;0.01;1
L;40;80;8.3;20;19.71;0.01;0;524.18;1.22;0.01;15;0;1
T;40;10.5;10;20.58;21.42;0;20.58;543.24;214.29;0.06;15;0.03;1
S;40;9.9;10;19.54;19.94;0.01;19.54;521.3;64.4;0.02;15;0.01;1
L;40;80;8.3;20;20.01;0.01;0;518.18;-10.16;0.01;15;0;1
T;40;9.2;10;18.58;21.3;0;18.58;489.27;190.18;0.06;15;0.03;1
S;40;10.1;10;20.35;19.6;0.01;20.35;549.02;37.87;0.02;15;0.01;1
L;40;80;8.3;20;19.89;0.01;0;521.11;-4.17;0;15;0;1
T;40;8.1;10;18.58;20.03;0.01;18.58;506.6;187.06;0.06;15;0.03;1
S;40;10.3;10;21;19.63;0.01;21;569.53;34.53;0.02;15;0.01;1
L;40;80;8.3;20;20.04;0.01;0;518.01;-4.89;0;15;0;1
