Robot;Delta_muestra;Input_d;d_ref;vel_ref;Input_vel;Input_theta;Output_d;Output_vel;Output_theta;;;;
T;40;10.7;10;0;0.31;0.01;0;55.35;-25.75;0;15;0;1
S;40;11.4;10;1;-0.02;0.01;1;-7.43;-39.19;0;15;0;1
L;40;20.4;80;0;0.47;-0.13;0;-34.7;926.14;0;15;0;1
T;40;11;10;0;0.45;0.05;0;49.99;-184.08;0;15;0;1
S;40;11.4;10;1;-0.02;0.02;1;-1.66;-74.91;0;15;0;1
L;40;16.1;80;0;0.33;-0.11;0;-33.73;942.34;0;15;0;1
T;40;10.8;10;2;0.42;0;2;100.27;81.67;0;15;0;1
S;40;8.7;10;-1;0.01;0.02;-1;-48.53;-74.37;0;15;0;1
L;40;13.4;80;0;0.21;-0.13;0;-32.61;1023;0;15;0;1
T;40;10.8;10;2;1.33;-0.01;2;85.86;26.48;0;15;0;1
S;40;9.1;10;-1;-0.02;0.02;-1;-53.79;-74.82;0;15;0;1
L;40;17.2;80;0;0.36;-0.14;0;-37.72;1023;0;15;0;1
T;40;10.6;10;1.66;1.29;0;1.66;81.9;-10.88;0;15;0;1
S;40;11.2;10;1;-0.01;0.01;1;-7.41;-53.92;0;15;0;1
L;40;15.4;80;0;0.33;-0.14;0;-39;1023;0;15;0;1
T;40;10.8;10;2;1.55;0;2;86;-9.7;0;15;0;1
S;40;8.7;10;-1;-0.01;0.02;-1;-53.85;-71.18;0;15;0;1
L;40;15.9;80;0;0.41;-0.13;0;-42.96;1023;0;15;0;1
T;40;10.7;10;2;1.52;0;2;89.59;-7.65;0;15;0;1
S;40;9.6;10;-1;-0.01;0.01;-1;-59.68;-49.62;0;15;0;1
L;40;80;80;0;0.38;-0.11;0;-44.57;1023;0;15;0;1
T;40;10.4;10;0;1.49;0;0;40.94;-3.39;0;15;0;1
S;40;10.2;10;0.8;-0.02;0.02;0.8;-18;-106.54;0;15;0;1
L;41;11.5;80;0;0.42;-0.08;0;-47.81;1002.25;0;15;0;1
T;40;10.5;10;0;1.27;0;0;37.88;-3.8;0;15;0;1
S;40;10.1;10;0;0.04;0.01;0;0;0;0;15;0;1
L;40;5.9;80;0;0.31;-0.13;0;-47.56;1023;0;15;0;1
T;40;10.7;10;0;0.89;0;0;40.51;-4.14;0;15;0;1
S;40;10.3;10;0;0.03;0;0;0;0;0;15;0;1
L;40;11.2;80;0;0.19;-0.13;0;-46.06;1023;0;15;0;1
T;40;10.5;10;1;0.12;0;1;81.5;-5.43;0;15;0;1
S;40;9.8;10;0;0.05;0.01;0;0;0;0;15;0;1
L;40;80;80;0;0.18;-0.13;0;-47.05;1023;0;15;0;1
T;40;10.4;10;1;0.31;0;1;81.69;-6.88;0;15;0;1
S;40;10.5;10;0;0.04;0;0;0;0;0;15;0;1
L;40;80;80;0;0.04;-0.14;0;-44.29;1023;0;15;0;1
T;40;10.5;10;1;0.29;0;1;86.15;-0.78;0;15;0;1
S;40;11.7;10;1;0.03;0;1;25.43;-18.18;0;15;0;1
L;40;80;80;0;0.04;-0.14;0;-44.59;1023;0;15;0;1
T;40;10.7;10;1;0.37;0;1;88.31;-5.03;0;15;0;1
S;40;9.4;10;-1;0.04;0;-1;-21.38;-11.57;0;15;0;1
L;40;80;80;0;0.22;-0.15;0;-49.47;1023;0;15;0;1
T;40;10.6;10;1;0.38;0;1;91.69;-1.86;0;15;0;1
S;40;9.7;10;-1;-0.01;0.03;-1;-26.22;-93.03;0;15;0;1
L;40;80;80;0;0.51;-0.12;0;-58.46;1023;0;15;0;1
T;40;10.4;10;0;0.39;0;0;68.92;3.82;0;15;0;1
S;40;11.4;10;1;-0.07;0.02;1;21.82;-41.94;0;15;0;1
L;40;80;80;0;0.32;-0.13;0;-56.32;1023;0;15;0;1
T;40;10.5;10;0;0.31;0;0;68.7;4.68;0;15;0;1
S;40;11.5;10;1;-0.09;0;1;28.46;6.5;0;15;0;1
L;40;28.5;80;0;0.4;-0.1;0;-60.22;1023;0;15;0;1
T;40;10.5;10;1.06;0.24;0;1.06;96.33;2.41;0;15;0;1
S;40;7.3;10;-1;0;0;-1;-19.77;-8.08;0;15;0;1
L;40;80;80;0;0.32;-0.14;0;-60.54;1023;0;15;0;1
T;40;10.3;10;0.3;0.29;0;0.3;79.9;-1.69;0;15;0;1
S;40;6.5;10;-1;-0.04;0;-1;-24.47;-12.12;0;15;0;1
L;40;7.5;80;0;0.23;-0.15;0;-60.16;1023;0;15;0;1
T;40;10.5;10;1.16;0.42;0;1.16;99.05;5.92;0;15;0;1
S;40;6.6;10;-1;-0.03;0.01;-1;-30.38;-54.87;0;15;0;1
L;40;80;80;0;0.21;-0.13;0;-60.79;1023;0;15;0;1
T;40;10.3;10;0;0.57;-0.04;0;69.08;155.58;0;15;0;1
S;40;4.9;10;-1;-0.04;0.02;-1;-35.78;-54.94;0;15;0;1
L;40;7.9;80;0;0.15;-0.13;0;-60.47;1023;0;15;0;1
T;40;10.4;10;0;0.72;0;0;62.01;-69.33;0;15;0;1
S;40;7.5;10;-1;-0.03;0.02;-1;-41.66;-51.34;0;15;0;1
L;40;20.4;80;0;0.1;-0.13;0;-60.17;1023;0;15;0;1
T;40;10.4;10;0;0.91;0.01;0;52.73;-13.56;0;15;0;1
S;40;9.4;10;-1;-0.02;0.02;-1;-47.54;-70.61;0;15;0;1
L;40;20.9;80;0;0.05;-0.14;0;-59.5;1023;0;15;0;1
T;40;10.1;10;0;0.99;0;0;0;0;0;15;0;1
S;40;11.9;10;1;-0.2;0.01;1;3.7;-20.67;0;15;0;1
L;40;18.2;80;0;0.11;-0.12;0;-61.19;1023;0;15;0;1
T;40;10.3;10;0;0.72;0.01;0;0;0;0;15;0;1
S;40;8.9;10;-1;-0.02;0;-1;-46.34;-18.67;0;15;0;1
L;40;13.1;80;0;0.03;-0.12;0;-59.86;1023;0;15;0;1
T;40;10.4;10;0;0.5;0;0;0;0;0;15;0;1
S;40;8.2;10;-1;-0.16;0.02;-1;-48.36;-83.14;0;15;0;1
L;40;80;80;0;0.08;-0.15;0;-61.28;1023;0;15;0;1
T;40;10.4;10;0;0.36;0;0;0;0;0;15;0;1
S;40;9.3;10;-1;-0.16;0.02;-1;-53.16;-58.25;0;15;0;1
L;40;16.5;80;0;-0.18;-0.12;0;-55.03;1023;0;15;0;1
T;40;10.3;10;0;0.24;0.01;0;0;0;0;15;0;1
S;40;9.9;10;0;-0.13;0;0;0;0;0;15;0;1
L;40;14.3;80;0;0.01;-0.14;0;-58.86;1023;0;15;0;1
T;40;10.2;10;0;0.17;0;0;0;0;0;15;0;1
S;40;8.5;10;-1;0.04;0;-1;-27.17;-12.4;0;15;0;1
L;40;12.5;80;0;-0.31;-0.13;0;-50.52;1023;0;15;0;1
T;40;10.1;10;0;0.02;0.01;0;0;0;0;15;0;1
S;40;9.9;10;0;0.01;0;0;0;0;0;15;0;1
L;40;80;80;0;-0.04;-0.14;0;-55.79;1023;0;15;0;1
T;40;10.3;10;0;0.03;0.01;0;0;0;0;15;0;1
S;40;10.1;10;0;0;0;0;0;0;0;15;0;1
