Robot,Delta_muestra,Input_d,d_ref,vel_ref,Input_vel,Input_theta,Output_d,Output_vel,Output_theta,curvatura,vel_crucero,curvatura_predecesor,control
R,40,15.70,15.00,10.62,11.16,1,0.00,0.00,0.00,0.00,9.94,0.00,1
L,40,11.40,19.20,10.00,9.96,1,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,15.60,15.00,10.29,11.06,1,0.00,0.00,0.00,0.00,9.97,0.00,1
L,40,10.70,19.20,10.00,10.13,1,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,15.30,15.00,9.13,10.98,1,0.00,0.00,0.00,0.00,9.97,0.00,1
L,40,10.00,19.20,10.00,10.01,1,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,15.50,15.00,9.99,10.60,1,0.00,0.00,0.00,0.00,9.97,0.00,1
L,41,13.00,19.20,10.00,9.93,1,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,15.50,15.00,10.05,9.17,1,0.00,0.00,0.00,0.00,9.93,0.00,1
L,40,10.00,19.20,10.00,9.89,1,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,15.50,15.00,10.11,9.91,1,0.00,0.00,0.00,0.00,9.93,0.00,1
L,40,9.30,19.20,10.00,9.87,1,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,15.50,15.00,10.17,10.17,1,0.00,0.00,0.00,0.00,9.98,0.00,1
L,40,6.80,19.20,10.00,9.91,1,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,15.70,15.00,11.05,9.88,1,0.00,0.00,0.00,0.00,9.98,0.00,1
L,40,80.00,19.20,10.00,9.99,1,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,15.40,15.00,9.90,10.15,1,0.00,0.00,0.00,0.00,9.98,0.00,1
L,40,80.00,19.20,10.00,9.99,1,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,15.40,15.00,9.95,10.32,1,0.00,0.00,0.00,0.00,9.98,0.00,1
L,40,80.00,19.20,10.00,9.92,1,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,15.70,15.00,11.23,10.21,1,0.00,0.00,0.00,0.00,9.98,0.00,1
L,40,9.80,19.20,10.00,10.08,1,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,15.50,15.00,10.49,10.36,1,0.00,0.00,0.00,0.00,9.98,0.00,1
L,40,15.90,19.20,10.00,9.96,1,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,15.70,15.00,11.38,10.38,1,0.00,0.00,0.00,0.00,9.98,0.00,1
L,40,9.30,19.20,10.00,9.85,1,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,15.20,15.00,9.40,10.54,1,0.00,0.00,0.00,0.00,9.98,0.00,1
L,40,11.40,19.20,10.00,10.44,1,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,15.00,15.00,8.60,10.76,1,0.00,0.00,0.00,0.00,9.98,0.00,1
L,40,10.70,19.20,10.00,10.03,1,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,15.20,15.00,9.42,10.48,1,0.00,0.00,0.00,0.00,9.98,0.00,1
L,40,13.20,19.20,10.00,10.04,1,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,15.80,15.00,11.92,8.75,1,0.00,0.00,0.00,0.00,10.10,0.00,1
L,40,13.60,19.20,10.00,10.15,1,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,15.70,15.00,11.60,10.19,1,0.00,0.00,0.00,0.00,10.10,0.00,1
L,40,10.80,19.20,10.00,10.11,1,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,15.40,15.00,10.45,11.16,1,0.00,0.00,0.00,0.00,10.10,0.00,1
L,40,16.10,19.20,10.00,10.00,1,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,15.70,15.00,11.74,10.96,1,0.00,0.00,0.00,0.00,10.09,0.00,1
L,40,10.80,19.20,10.00,10.01,1,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,15.40,15.00,10.58,10.98,1,0.00,0.00,0.00,0.00,10.09,0.00,1
L,40,7.70,19.20,10.00,9.99,1,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,15.20,15.00,9.81,11.21,1,0.00,0.00,0.00,0.00,9.98,0.00,1
L,40,80.00,19.20,10.00,9.89,1,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,15.10,15.00,9.42,10.90,1,0.00,0.00,0.00,0.00,9.98,0.00,1
L,40,80.00,19.20,10.00,9.92,1,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,15.10,15.00,9.43,10.49,1,0.00,0.00,0.00,0.00,9.98,0.00,1
L,40,80.00,19.20,10.00,9.94,1,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,15.40,15.00,10.68,10.10,1,0.00,0.00,0.00,0.00,9.97,0.00,1
L,40,6.70,19.20,10.00,10.02,1,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,15.00,15.00,9.08,9.90,1,0.00,0.00,0.00,0.00,9.97,0.00,1
L,40,11.10,19.20,10.00,10.04,1,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,15.50,15.00,11.14,9.78,1,0.00,0.00,0.00,0.00,10.08,0.00,1
L,40,80.00,19.20,10.00,10.11,1,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,15.40,15.00,10.79,9.71,1,0.00,0.00,0.00,0.00,10.08,0.00,1
L,40,80.00,19.20,10.00,10.20,1,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,15.40,15.00,10.84,9.96,1,0.00,0.00,0.00,0.00,10.08,0.00,1
L,40,8.90,19.20,10.00,10.11,1,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,15.20,15.00,10.06,10.18,1,0.00,0.00,0.00,0.00,10.08,0.00,1
L,40,10.70,19.20,10.00,9.73,1,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,15.30,15.00,10.50,10.29,1,0.00,0.00,0.00,0.00,10.08,0.00,1
L,40,7.20,19.20,10.00,9.76,1,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,15.60,15.00,11.77,10.37,1,0.00,0.00,0.00,0.00,9.90,0.00,1
L,40,8.80,19.20,10.00,9.95,1,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,15.40,15.00,11.02,11.05,1,0.00,0.00,0.00,0.00,9.90,0.00,1
L,40,13.70,19.20,10.00,9.97,1,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,15.20,15.00,10.24,11.18,1,0.00,0.00,0.00,0.00,10.07,0.00,1
L,40,9.00,19.20,10.00,9.87,1,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,15.00,15.00,9.44,10.55,1,0.00,0.00,0.00,0.00,10.07,0.00,1
