Robot,Delta_muestra,Input_d,d_ref,vel_ref,Input_vel,Input_theta,Output_d,Output_vel,Output_theta,curvatura,vel_crucero,curvatura_predecesor,control
L,40,58.00,61.50,10.00,9.96,1,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,13.30,11.50,12.10,11.45,1,0.00,0.00,0.00,0.00,9.85,0.00,1
L,40,56.70,61.50,10.00,9.76,1,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,13.10,11.50,11.49,11.39,1,0.00,0.00,0.00,0.00,9.89,0.00,1
L,40,56.60,61.50,10.00,9.95,1,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,12.90,11.50,10.86,11.29,1,0.00,0.00,0.00,0.00,9.89,0.00,1
L,40,56.30,61.50,10.00,9.98,1,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,13.20,11.50,12.27,11.14,1,0.00,0.00,0.00,0.00,9.94,0.00,1
L,40,56.10,61.50,10.00,9.92,1,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,12.90,11.50,11.23,11.35,1,0.00,0.00,0.00,0.00,9.94,0.00,1
L,40,56.70,61.50,10.00,9.89,1,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,12.80,11.50,10.99,11.50,1,0.00,0.00,0.00,0.00,9.94,0.00,1
L,40,56.40,61.50,10.00,10.04,1,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,12.80,11.50,11.15,11.44,1,0.00,0.00,0.00,0.00,10.00,0.00,1
L,40,55.80,61.50,10.00,10.06,1,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,12.70,11.50,10.89,11.29,1,0.00,0.00,0.00,0.00,10.00,0.00,1
L,40,56.40,61.50,10.00,10.02,1,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,12.60,11.50,10.62,11.29,1,0.00,0.00,0.00,0.00,10.08,0.00,1
L,40,55.30,61.50,10.00,10.02,1,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,12.60,11.50,10.75,11.28,1,0.00,0.00,0.00,0.00,10.08,0.00,1
L,40,54.40,61.50,10.00,9.96,1,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,12.40,11.50,10.06,11.28,1,0.00,0.00,0.00,0.00,10.08,0.00,1
L,40,54.30,61.50,10.00,10.09,1,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,12.70,11.50,11.41,11.24,1,0.00,0.00,0.00,0.00,10.13,0.00,1
L,40,54.30,61.50,10.00,10.08,1,0.00,0.00,0.00,0.00,15.00,0.00,1
S,41,12.10,11.50,9.08,11.29,1,0.00,0.00,0.00,0.00,10.13,0.00,1
L,40,55.40,61.50,10.00,10.03,1,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,12.40,11.50,10.39,11.15,1,0.00,0.00,0.00,0.00,9.97,0.00,1
L,40,53.90,61.50,10.00,9.95,1,0.00,0.01,0.00,0.01,15.00,0.00,1
S,40,12.50,11.50,10.91,10.78,1,0.00,0.00,0.00,0.00,9.97,0.00,1
L,40,54.00,61.50,10.00,9.86,1,0.00,0.01,0.00,0.01,15.00,0.00,1
S,40,12.30,11.50,10.20,10.47,1,0.00,0.00,0.00,0.00,9.97,0.00,1
L,40,52.90,61.50,10.00,9.76,1,0.00,0.01,0.00,0.01,15.00,0.00,1
L,40,53.30,61.50,10.00,9.74,1,0.00,0.01,0.00,0.01,15.00,0.00,1
S,40,12.50,11.50,11.12,10.37,1,0.00,0.00,0.00,0.00,10.01,0.01,1
L,40,52.90,61.50,10.00,9.61,1,0.00,0.01,0.00,0.01,15.00,0.00,1
S,40,12.40,11.50,10.83,10.39,1,0.00,0.00,0.00,0.00,10.01,0.01,1
L,40,52.80,61.50,10.00,9.65,1,0.00,0.01,0.00,0.01,15.00,0.00,1
S,40,12.10,11.50,9.70,10.47,1,0.00,0.00,0.00,0.00,9.62,0.01,1
S,40,12.30,11.50,10.60,10.51,1,0.00,0.00,0.00,0.00,9.62,0.01,1
L,40,53.60,61.50,10.00,9.90,1,0.00,0.01,0.00,0.01,15.00,0.00,1
S,40,12.50,11.50,11.52,10.38,1,0.00,0.00,0.00,0.00,9.62,0.01,1
L,40,53.60,61.50,10.00,10.13,1,0.00,0.01,0.00,0.01,15.00,0.00,1
S,40,12.60,11.50,12.05,10.49,1,0.00,0.00,0.00,0.00,10.67,0.01,1
