Robot,Delta_muestra,Input_d,d_ref,vel_ref,Input_vel,Input_theta,Output_d,Output_vel,Output_theta,curvatura,vel_crucero,curvatura_predecesor,control
L,40,52.60,58.70,20.00,20.19,0.00,0.00,569.43,-122.55,0.03,15.00,0.00,0
S,42,58.70,13.90,0.00,0.00,0.00,30.00,65.92,5.35,0.00,0.00,0.03,0
L,42,53.20,58.70,20.00,18.95,0.00,0.00,600.91,-123.75,0.03,15.00,0.00,0
S,42,58.60,13.90,0.00,0.00,0.00,30.00,65.92,4.89,0.00,0.00,0.03,0
L,42,52.80,58.70,20.00,20.78,0.00,0.00,559.11,-126.26,0.03,15.00,0.00,0
S,41,57.70,13.90,0.00,0.00,0.00,30.00,65.92,9.00,0.00,0.00,0.03,0
L,41,53.00,58.70,20.00,18.83,0.00,0.00,605.66,-128.57,0.03,15.00,0.00,0
S,41,57.80,13.90,0.00,0.00,0.00,30.00,65.92,6.31,0.00,0.00,0.03,0
L,41,52.80,58.70,20.00,20.98,0.01,0.00,556.28,-136.16,0.03,15.00,0.00,0
S,41,57.80,13.90,0.00,0.00,0.00,30.00,65.92,4.54,0.00,0.00,0.03,0
L,40,55.10,58.70,20.00,20.33,0.01,0.00,567.38,-138.45,0.03,15.00,0.00,0
S,41,56.70,13.90,0.00,0.00,0.00,30.00,65.92,5.20,0.00,0.00,0.03,0
L,42,55.60,58.70,20.00,18.53,0.01,0.00,613.00,-133.43,0.03,15.00,0.00,0
S,42,57.40,13.90,0.00,0.00,0.00,30.00,65.92,6.48,0.00,0.00,0.03,0
L,40,55.80,58.70,20.00,19.92,0.01,0.00,585.13,-136.31,0.03,15.00,0.00,0
S,41,58.70,13.90,0.00,0.00,0.00,30.00,65.92,4.29,0.00,0.00,0.03,0
L,41,55.80,58.70,20.00,20.14,0.01,0.00,579.97,-137.65,0.03,15.00,0.00,0
S,41,58.90,13.90,0.00,0.00,0.00,30.00,65.92,6.31,0.00,0.00,0.03,0
L,42,53.50,58.70,20.00,20.52,0.01,0.00,568.93,-137.17,0.03,15.00,0.00,0
S,40,59.30,13.90,0.00,0.00,0.00,30.00,65.92,2.21,0.00,0.00,0.03,0
L,41,58.10,58.70,20.00,19.61,0.01,0.00,589.71,-149.71,0.03,15.00,0.00,0
S,42,59.60,13.90,0.00,0.00,0.00,30.00,65.92,4.17,0.00,0.00,0.03,0
L,42,60.50,58.70,20.00,20.12,0.01,0.00,578.67,-144.72,0.04,15.00,0.00,0
S,41,58.90,13.90,0.00,0.00,0.00,30.00,65.92,1.99,0.00,0.00,0.03,0
L,40,66.50,58.70,20.00,19.40,0.01,0.00,596.67,-146.01,0.04,15.00,0.00,0
S,42,58.00,13.90,0.00,0.00,0.00,30.00,65.92,4.65,0.00,0.00,0.04,0
L,41,65.10,58.70,20.00,20.46,0.01,0.00,572.54,-143.99,0.04,15.00,0.00,0
S,42,57.80,13.90,0.00,0.01,0.00,30.00,65.65,-0.07,0.00,0.00,0.04,0
L,40,64.70,58.70,20.00,19.45,0.00,0.00,596.28,-137.46,0.04,15.00,0.00,0
S,41,57.10,13.90,0.00,0.00,0.00,30.00,65.82,5.49,0.00,0.00,0.04,0
L,42,60.60,58.70,20.00,20.65,0.00,0.00,568.01,-131.47,0.04,15.00,0.00,0
S,41,57.10,13.90,0.00,0.00,0.00,30.00,65.85,0.95,0.00,0.00,0.04,0
S,41,56.90,13.90,0.00,0.00,0.00,30.00,65.85,1.14,0.00,0.00,0.04,0
L,41,58.90,58.70,20.00,19.45,-0.00,0.00,595.53,-127.56,0.04,15.00,0.00,0
L,40,56.40,58.70,20.00,20.56,-0.00,0.00,569.78,-124.13,0.04,15.00,0.00,0
S,40,57.50,13.90,0.00,0.00,0.00,30.00,65.85,2.15,0.00,0.00,0.04,0
L,41,55.50,58.70,20.00,18.85,-0.00,0.00,611.40,-121.07,0.04,15.00,0.00,0
S,41,58.40,13.90,0.00,0.00,0.00,30.00,65.85,2.91,0.00,0.00,0.04,0
L,42,53.90,58.70,20.00,21.20,-0.01,0.00,556.37,-112.95,0.04,15.00,0.00,0
S,42,56.20,13.90,0.00,0.00,0.00,30.00,65.85,2.02,0.00,0.00,0.04,0
L,42,52.50,58.70,20.00,19.21,-0.01,0.00,601.56,-108.10,0.04,15.00,0.00,0
S,42,57.90,13.90,0.00,0.00,0.00,30.00,65.85,0.55,0.00,0.00,0.04,0
