Robot,Delta_muestra,Input_d,d_ref,vel_ref,Input_vel,Input_theta,Output_d,Output_vel,Output_theta,curvatura,vel_crucero,curvatura_predecesor,control
L,41,80.00,80.00,10.00,10.52,1,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,13.40,15.00,9.92,10.22,0,0.08,0.05,0.03,0.03,9.92,0.00,0
S,40,80.00,15.00,10.11,10.11,0,0.07,0.08,0.08,0.07,10.11,0.03,0
L,40,80.00,80.00,10.00,9.83,1,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,13.30,15.00,9.92,10.15,0,0.08,0.05,0.03,0.03,9.92,0.00,0
S,40,80.00,15.00,10.15,10.21,0,0.08,0.08,0.08,0.08,10.15,0.03,0
L,40,80.00,80.00,10.00,9.97,1,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,13.00,15.00,9.92,10.09,0,0.08,0.05,0.03,0.03,9.92,0.00,0
S,40,80.00,15.00,10.15,10.15,0,0.08,0.08,0.08,0.08,10.15,0.03,0
L,40,80.00,80.00,10.00,9.82,1,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,13.20,15.00,9.91,10.09,0,0.08,0.05,0.03,0.03,9.91,0.00,0
S,40,80.00,15.00,10.11,10.15,0,0.08,0.08,0.08,0.08,10.11,0.03,0
L,40,80.00,80.00,10.00,9.84,1,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,13.10,15.00,9.91,10.11,0,0.08,0.05,0.03,0.03,9.91,0.00,0
S,40,80.00,15.00,10.11,10.10,0,0.08,0.08,0.08,0.08,10.11,0.03,0
L,40,80.00,80.00,10.00,9.90,1,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,13.20,15.00,2.71,10.17,0,0.01,0.05,0.03,0.01,9.91,0.00,1
S,40,80.00,15.00,10.11,10.07,0,0.08,0.08,0.08,0.08,10.11,0.03,0
L,40,80.00,80.00,10.00,9.88,1,0.00,0.00,0.00,0.00,15.00,0.00,1
R,40,13.20,15.00,2.49,9.61,0,0.01,0.05,0.03,0.01,9.91,0.00,1
S,40,80.00,15.00,9.03,10.07,0,0.08,0.08,0.08,0.08,9.03,0.01,0
L,40,80.00,80.00,10.00,9.88,1,0.00,0.00,0.00,0.00,15.00,0.00,1
