Robot,Delta_muestra,Input_d,d_ref,vel_ref,Input_vel,Input_theta,Output_d,Output_vel,Output_theta,curvatura,vel_crucero,curvatura_predecesor,control
S,40,17.80,14.30,23.29,22.92,1,0.00,0.00,0.00,0.00,19.37,0.00,1
L,40,53.50,59.10,20.00,19.78,1,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,17.80,14.30,23.71,21.95,1,0.00,0.00,0.00,0.00,19.77,0.00,1
L,40,52.80,59.10,20.00,19.87,1,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,17.80,14.30,24.13,23.44,1,0.00,0.00,0.00,0.00,19.77,0.00,1
L,40,51.20,59.10,20.00,19.82,1,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,17.50,14.30,23.31,23.24,1,0.00,0.00,0.00,0.00,19.77,0.00,1
L,40,51.70,59.10,20.00,19.89,1,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,17.60,14.30,24.11,22.34,1,0.00,0.00,0.00,0.00,19.98,0.00,1
L,40,51.20,59.10,20.00,19.99,1,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,17.60,14.30,24.50,23.32,1,0.00,0.00,0.00,0.00,19.98,0.00,1
L,40,49.70,59.10,20.00,20.06,1,0.00,0.00,0.00,0.00,15.00,0.00,1
S,40,17.40,14.30,24.08,22.98,1,0.00,0.00,0.00,0.00,19.69,0.00,1
L,40,50.30,59.10,20.00,20.20,1,0.01,0.00,0.00,0.01,15.00,0.00,0
S,40,17.20,14.30,23.62,23.75,1,0.00,0.00,0.00,0.00,19.69,0.00,1
L,40,49.70,59.10,20.00,19.42,1,0.01,0.00,0.00,0.01,15.00,0.00,0
S,40,16.90,14.30,22.74,23.68,1,0.00,0.00,0.00,0.00,19.69,0.00,1
L,40,49.70,59.10,20.00,20.13,1,0.01,0.00,0.00,0.01,15.00,0.00,0
S,40,16.90,14.30,23.05,23.92,1,0.00,0.00,0.00,0.00,20.12,0.01,1
L,40,49.30,59.10,20.00,20.13,1,0.01,0.00,0.00,0.01,15.00,0.00,0
S,40,16.80,14.30,22.95,23.70,1,0.00,0.00,0.00,0.00,20.12,0.01,1
L,40,48.80,59.10,20.00,20.07,1,0.01,0.03,0.00,0.03,15.00,0.00,0
S,40,16.80,14.30,19.82,22.83,1,0.00,0.00,0.00,0.00,19.82,0.03,0
L,40,49.10,59.10,20.00,20.25,1,0.01,0.03,0.00,0.03,15.00,0.00,0
