Robot,Delta_muestra,Input_d,d_ref,vel_ref,Input_vel,Input_theta,Output_d,Output_vel,Output_theta,curvatura,vel_crucero,curvatura_predecesor,control
L,40,5.30,49.00,15.00,14.84,0.00,0.00,472.57,3.64,0.00,15.00,0.00,1
R,40,10.30,10.00,16.74,17.58,-0.01,16.74,548.21,0.07,0.01,14.83,0.00,1
T,40,52.30,10.00,16.24,15.36,-0.03,16.24,539.18,71.32,0.00,16.24,0.08,0
S,40,11.40,10.00,18.08,16.16,0.01,18.08,563.07,-215.89,0.08,18.08,0.01,0
O,40,9.70,10.00,14.68,14.55,-0.02,14.68,475.57,-62.44,0.08,15.99,0.00,0
L,40,4.90,49.00,15.00,14.83,0.00,0.00,473.81,0.89,0.00,15.00,0.00,1
R,40,10.40,10.00,17.18,17.46,-0.00,17.18,558.09,-4.75,0.01,14.83,0.00,1
T,40,51.40,10.00,16.24,15.35,0.02,16.24,544.47,-102.16,0.00,16.24,0.08,0
S,40,10.10,10.00,18.08,16.54,-0.00,18.08,564.17,-194.24,0.08,17.40,0.01,0
O,40,9.60,10.00,14.68,15.04,-0.03,14.68,463.59,-36.90,0.08,15.41,0.00,0
L,40,5.10,49.00,15.00,14.96,0.00,0.00,471.37,-1.95,0.00,15.00,0.00,1
R,40,10.40,10.00,17.23,16.58,-0.00,17.23,580.61,-4.72,0.01,14.83,0.00,1
T,40,51.80,10.00,17.65,15.56,0.02,17.65,581.14,-46.09,0.00,17.65,0.08,0
S,40,10.70,10.00,18.08,17.09,-0.01,18.08,558.95,-168.98,0.08,17.40,0.01,0
O,40,9.80,10.00,14.68,14.92,-0.07,14.68,464.48,107.88,0.08,15.41,0.00,0
L,40,4.90,49.00,15.00,14.96,0.00,0.00,471.69,3.04,0.00,15.00,0.00,1
R,40,10.10,10.00,16.04,17.28,-0.00,16.04,535.27,2.71,0.01,14.92,0.00,1
T,40,51.10,10.00,17.65,15.88,-0.02,17.65,584.72,101.31,0.00,17.65,0.08,0
S,40,10.50,10.00,18.08,17.40,-0.02,18.08,556.60,-137.28,0.08,17.40,0.01,0
O,40,9.70,10.00,14.68,14.83,-0.03,14.68,465.40,-85.63,0.08,16.03,0.00,0
L,40,3.00,49.00,15.00,14.90,0.00,0.00,473.54,-3.90,0.00,15.00,0.00,1
R,40,10.00,10.00,15.64,16.54,-0.00,15.64,536.93,-5.82,0.01,14.92,0.00,1
T,40,50.10,10.00,17.65,16.28,0.07,17.65,584.59,-283.85,0.00,17.65,0.08,0
